Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2009;39;M;Personenauto;1;359147003;;;68,3;Kanaaldijk Zuid;Gezandebaan;Landbouwstraat;Someren;Someren;Noord-Brabant;W;179968;371923;5133598483;5745489735
2009;46;M;Personenauto;1;359147003;;;68,3;Kanaaldijk Zuid;Gezandebaan;Landbouwstraat;Someren;Someren;Noord-Brabant;W;179968;371923;5133598483;5745489735
2009;25;M;Voetganger;3;359149001;;;71;Kanaaldijk Zuid;Brugstraat;Gezandebaan;Someren;Someren;Noord-Brabant;W;179670;374606;5136011428;5741400565
2009;16;M;Snorfiets;5;359253014;;;;Bijsterhuizen;Bijsterhuizen;Bijsterhuizen;Wijchen;Wijchen;Gelderland;K;179867;426922;5183034363;5747951474
2009;66;M;Fiets;2;359452038;;;;Banterweg;Oude Espelerweg;Boslaan;Noordoostpolder;Noordoostpolder;Flevoland;W;179767;526046;5272122925;5753775897
2009;25;M;Personenauto;1;360209001;;;116,8;Grote Baan;GANZENWEG;ZAANPEELWEG;Sint Anthonis;Sint Anthonis;Noord-Brabant;W;180043;404515;5162893474;5748888047
2009;26;M;Personenauto;1;360272017;;;154,6;KP VALBURG;KP VALBURG;KP VALBURG;Overbetuwe;Overbetuwe;Gelderland;W;180929;435561;5190794388;5764007695
2009;29;M;Personenauto;1;362199011;;;;Zeelandsedijk;Keizersberg;De Grootstraat;Gemert-Bakel;Gemert-Bakel;Noord-Brabant;W;181206;399457;5158341823;576530499
2009;66;V;Fiets;2;363556023;;;;D Hondecoeterstraat;Ferdinand Bolstraat;Hobbemastraat;Leeuwarden;Leeuwarden;Friesland;K;181961;578377;531913752;5790579632
2009;22;V;Personenauto;1;364061056;;;;Stadhouderslaan;Negenmorgenstraat;Drossaert Everhartsstr;Stein;Stein;Limburg;W;182045;330965;5096773391;5772194778
2009;52;M;Bestelauto;5;364549007;;;51;Waldwei;Waldwei;GOUTUM;Leeuwarden;Leeuwarden;Friesland;W;182836;574999;5316097753;5803378439
2009;56;M;Bestelauto;5;364549007;;;52,6;Waldwei;Waldwei;GOUTUM;Leeuwarden;Leeuwarden;Friesland;W;184349;575560;531659377;5826049537
